Genotypes,% Duplication,% Deletion,Chromosome-wise Max Duplication %,Chromosome-wise Max Deletion %
RBJ-53_cnv,32.45,67.55,39.60 (B06),75.29 (A04)
RBJ-32_cnv,1.59,98.41,2.80 (A03),99.56 (A01)
RBJ-31_cnv,40.69,59.31,43.18 (B06),67.48 (A02)
RBJ-52_cnv,1.27,98.73,2.13 (A05),100.00 (A10)
RBJ-2_cnv,1.87,98.13,2.74 (B01),99.30 (B06)
RBJ-22_cnv,36.76,63.24,42.06 (A10),68.50 (A08)
RBJ-19_cnv,47.49,52.51,57.14 (A10),59.09 (B05)
RBJ-33_cnv,45.31,54.69,50.00 (A07),63.33 (A02)
RBJ-38_cnv,42.90,57.10,62.50 (A07),73.68 (A02)
RBJ-63_cnv,1.48,98.52,2.37 (A07),98.97 (B08)
RBJ-68_cnv,44.08,55.92,47.06 (A10),58.54 (B04)
RBJ-84_cnv,50.91,49.09,60.00 (A03),61.11 (B01)
RBJ-75_cnv,49.56,50.44,66.67 (A10),62.50 (A06)
RBJ-77_cnv,51.87,48.13,63.46 (B06),57.58 (A01)
